"","EcoRegion.Domain","Terrain","Incident.Type","Age","Group.Type","Weight..Kg.","Height..Cm.","Build","Physical.Fitness","Mental.Fitness","Experience","Equipment","Personality","Total.hours","Temp.H","Temp.L","Snow","Rain","Subject.Status","Super.Category","Group"
"3231","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","DESPONDENT",NA
"3232","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","DOA","OUTDOOR",NA
"3233","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,"NO","NO","ALIVE","OUTDOOR",NA
"3234","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,18,"NO","NO","DOA","DESPONDENT",NA
"3235","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3236","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3237","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR",NA
"3238","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR",NA
"3239","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,3,NA,"YES","ALIVE","OTHER MENTAL ISSUES",NA
"3240","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR",NA
"3241","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"NO","DOA","OUTDOOR",NA
"3242","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"NO","DOA","WATER",NA
"3243","TEMPERATE","FLAT","SEARCH",13,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","OUTDOOR",NA
"3244","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"YES","ALIVE","OUTDOOR","YES"
"3245","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"YES","ALIVE","OUTDOOR","YES"
"3246","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,-1,NA,NA,"DOA","DESPONDENT",NA
"3247","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3248","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,3,NA,"YES","ALIVE","DESPONDENT",NA
"3249","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3250","TEMPERATE","FLAT","SEARCH",12,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"3251","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","DESPONDENT",NA
"3252","TEMPERATE","WATER","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,8,"NO","NO","ALIVE","DESPONDENT",NA
"3253","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,18,NA,NA,"ALIVE","DESPONDENT",NA
"3254","TEMPERATE","MOUNTAINOUS","SEARCH",7,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,"ALIVE","CHILD",NA
"3255","TEMPERATE","FLAT","SEARCH",14,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"3256","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3257","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,"NO","NO","DOA","DESPONDENT",NA
"3258","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,"NO","NO","DOA","DESPONDENT",NA
"3259","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,-1,NA,NA,"DOA","OTHER MENTAL ISSUES",NA
"3260","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"3261","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,-1,NA,NA,"DOA","DESPONDENT",NA
"3262","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,8,NA,"YES","DOA","DESPONDENT",NA
"3263","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,"NO","ALIVE","OTHER MENTAL ISSUES",NA
"3264","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3265","TEMPERATE","FLAT","SEARCH",8,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"ALIVE","CHILD",NA
"3266","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"YES","DOA","OTHER MENTAL ISSUES",NA
"3267","TEMPERATE","FLAT","SEARCH",15,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"NO","NO","ALIVE","OUTDOOR",NA
"3268","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"YES",NA,"ALIVE","OUTDOOR",NA
"3269","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"ALIVE","OUTDOOR",NA
"3270","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","OUTDOOR",NA
"3271","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,"YES",NA,"ALIVE",NA,NA
"3272","TEMPERATE","FLAT","SEARCH",16,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","OUTDOOR",NA
"3273","TEMPERATE","FLAT","SEARCH",9,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","CHILD",NA
"3274","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3275","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","DESPONDENT",NA
"3276","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3277","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,NA,"NO","ALIVE","OTHER MENTAL ISSUES",NA
"3278","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"YES","ALIVE",NA,NA
"3279","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","ALIVE","OUTDOOR",NA
"3280","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,3,NA,NA,"ALIVE","DESPONDENT",NA
"3281","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,18,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3282","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,"YES","DOA","OTHER MENTAL ISSUES",NA
"3283","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA",NA,NA
"3284","TEMPERATE","FLAT","SEARCH",10,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"3285","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"NO","NO","DOA","OUTDOOR",NA
"3286","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","DOA","OTHER MENTAL ISSUES",NA
"3287","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"ALIVE","OUTDOOR",NA
"3288","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","DESPONDENT",NA
"3289","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"NO","ALIVE","OUTDOOR",NA
"3290","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,8,NA,"YES","ALIVE","DESPONDENT",NA
"3291","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,NA,NA,"ALIVE","OTHER MENTAL ISSUES",NA
"3292","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OUTDOOR",NA
"3293","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","DESPONDENT",NA
"3294","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OTHER MENTAL ISSUES",NA
"3295","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3296","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"ALIVE","OUTDOOR","YES"
"3297","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,18,NA,"NO","ALIVE","DESPONDENT",NA
"3298","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,13,NA,"NO","ALIVE","DESPONDENT",NA
"3299","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"NO","ALIVE",NA,NA
"3300","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,13,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3301","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,13,"NO","NO","ALIVE","DESPONDENT",NA
"3302","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,NA,NA,"DOA","DESPONDENT",NA
"3303","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,"NO","NO","DOA","DESPONDENT",NA
"3304","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3305","TEMPERATE","WATER","SEARCH",NA,"F",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,NA,NA,"DOA","DESPONDENT",NA
"3306","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,-1,NA,NA,"DOA","DESPONDENT",NA
"3307","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3308","TEMPERATE","FLAT","SEARCH",11,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"YES","ALIVE","CHILD",NA
"3309","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"YES","ALIVE","OUTDOOR",NA
"3310","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"YES","ALIVE","OUTDOOR",NA
"3311","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"YES","ALIVE","OUTDOOR",NA
"3312","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,NA,NA,"DOA","OTHER MENTAL ISSUES",NA
"3313","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"ALIVE","OUTDOOR",NA
"3314","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3315","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,8,"NO","NO","ALIVE","DESPONDENT",NA
"3316","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,"YES","DOA","OTHER MENTAL ISSUES",NA
"3317","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,13,NA,"NO","DOA","DESPONDENT",NA
"3318","TEMPERATE","FLAT","SEARCH",10,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,23,NA,"NO","ALIVE","OTHER MENTAL ISSUES",NA
"3319","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3320","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"3321","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR",NA
"3322","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"NO","ALIVE",NA,NA
"3323","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,8,NA,"YES","DOA","DESPONDENT",NA
"3324","TEMPERATE","FLAT","SEARCH",12,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"NO","ALIVE","CHILD",NA
"3325","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,13,"NO","NO","ALIVE","DESPONDENT",NA
"3326","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,NA,NA,"DOA","DESPONDENT",NA
"3327","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OUTDOOR",NA
"3328","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","DOA","OTHER MENTAL ISSUES",NA
"3329","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3330","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","DOA","OTHER MENTAL ISSUES",NA
"3331","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3332","TEMPERATE","WATER","SEARCH",NA,NA,NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,"NO","NO","DOA","DESPONDENT","YES"
"3333","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","DESPONDENT",NA
"3334","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","DESPONDENT",NA
"3335","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3336","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3337","TEMPERATE","FLAT","SEARCH",13,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OUTDOOR",NA
"3338","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","WATER",NA
"3339","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES",NA
"3340","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES",NA
"3341","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OUTDOOR",NA
"3342","TEMPERATE","FLAT","SEARCH",7,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"NO","ALIVE","CHILD",NA
"3343","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","DOA","OTHER MENTAL ISSUES",NA
"3344","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"YES","ALIVE","OUTDOOR",NA
"3345","TEMPERATE","MOUNTAINOUS","SEARCH",14,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR","YES"
"3346","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","DESPONDENT",NA
"3347","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","DESPONDENT",NA
"3348","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"NO","NO","ALIVE",NA,NA
"3349","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OUTDOOR",NA
"3350","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,8,NA,"NO","ALIVE","OTHER MENTAL ISSUES",NA
"3351","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,3,NA,"YES","ALIVE","DESPONDENT",NA
"3352","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","DESPONDENT",NA
"3353","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","OTHER MENTAL ISSUES",NA
"3354","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,3,NA,"YES","DOA","DESPONDENT",NA
"3355","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,-1,NA,NA,"DOA","DESPONDENT",NA
"3356","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,13,"NO","NO","DOA","OTHER MENTAL ISSUES",NA
"3357","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","OUTDOOR","YES"
"3358","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","OUTDOOR",NA
"3359","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3360","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","DESPONDENT",NA
"3361","TEMPERATE","WATER","SEARCH",8,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","CHILD",NA
"3362","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3363","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,"NO","NO","DOA","DESPONDENT",NA
"3364","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YES","ALIVE","OUTDOOR",NA
"3365","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"3366","TEMPERATE","WATER","SEARCH",NA,"F",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,-1,NA,"NO","DOA","DESPONDENT",NA
"3367","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,8,NA,NA,"DOA","DESPONDENT",NA
"3368","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OTHER MENTAL ISSUES",NA
"3369","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,13,NA,NA,"ALIVE","DESPONDENT",NA
"3370","TEMPERATE","MOUNTAINOUS","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,18,"NO","NO","DOA","DESPONDENT",NA
"3371","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,"NO","NO","ALIVE","DESPONDENT",NA
"3372","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,3,"NO","NO","ALIVE","OTHER MENTAL ISSUES",NA
"3373","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3374","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,3,NA,"YES","ALIVE","DESPONDENT",NA
"3375","TEMPERATE","FLAT","SEARCH",NA,NA,NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT","YES"
"3376","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OUTDOOR",NA
"3377","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3378","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MILD",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","DESPONDENT",NA
"3379","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,NA,"DOA","OTHER MENTAL ISSUES",NA
"3380","TEMPERATE","WATER","SEARCH",NA,"M",NA,NA,NA,NA,"SEVERE",NA,NA,NA,NA,NA,NA,NA,NA,"DOA","DESPONDENT",NA
"3381","TEMPERATE","FLAT","SEARCH",NA,"M",NA,NA,NA,NA,"MODERATE",NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES",NA
"3382","TEMPERATE","FLAT","SEARCH",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD","YES"
"3383","TEMPERATE","FLAT","SEARCH",10,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE","CHILD",NA
"3384","TEMPERATE","FLAT","SEARCH",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALIVE",NA,NA
